word,phonemes,g2p_alignment
saman,s a m a n,s}s a}a m}m a}a n}n
samar,s a m a r,s}s a}a m}m a}a r}r
samaran,s a m a r a n,s}s a}a m}m a}a r}r a}a n}n
samasekali,s a m a s ə k a l i,s}s a}a m}m a}a s}s e}ə k}k a}a l}l i}i
sambal,s a m b a l,s}s a}a m}m b}b a}a l}l
sambang,s a m b a ŋ,s}s a}a m}m b}b a}a n|g}ŋ
sambar,s a m b a r,s}s a}a m}m b}b a}a r}r
sambil,s a m b i l,s}s a}a m}m b}b i}i l}l
sambilan,s a m b i l a n,s}s a}a m}m b}b i}i l}l a}a n}n
sambung,s a m b u ŋ,s}s a}a m}m b}b u}u n|g}ŋ
sambungan,s a m b u ŋ a n,s}s a}a m}m b}b u}u n|g}ŋ a}a n}n
sambungannya,s a m b u ŋ a n ɲ a,s}s a}a m}m b}b u}u n|g}ŋ a}a n}n n|y}ɲ a}a
sambut,s a m b u t,s}s a}a m}m b}b u}u t}t
sambutan,s a m b u t a n,s}s a}a m}m b}b u}u t}t a}a n}n
sami,s a m i,s}s a}a m}m i}i
samin,s a m i n,s}s a}a m}m i}i n}n
sampah,s a m p a h,s}s a}a m}m p}p a}a h}h
sampai,s a m p a i,s}s a}a m}m p}p a}a i}i
sampaikan,s a m p a i k a n,s}s a}a m}m p}p a}a i}i k}k a}a n}n
sampan,s a m p a n,s}s a}a m}m p}p a}a n}n
sampanye,s a m p a ɲ ə,s}s a}a m}m p}p a}a n|y}ɲ e}ə
sampar,s a m p a r,s}s a}a m}m p}p a}a r}r
sampel,s a m p ə l,s}s a}a m}m p}p e}ə l}l
samping,s a m p i ŋ,s}s a}a m}m p}p i}i n|g}ŋ
sampingan,s a m p i ŋ a n,s}s a}a m}m p}p i}i n|g}ŋ a}a n}n
sampingnya,s a m p i ŋ ɲ a,s}s a}a m}m p}p i}i n|g}ŋ n|y}ɲ a}a
sampul,s a m p u l,s}s a}a m}m p}p u}u l}l
sampurna,s a m p u r n a,s}s a}a m}m p}p u}u r}r n}n a}a
samsu,s a m s u,s}s a}a m}m s}s u}u
samudera,s a m u d ə r a,s}s a}a m}m u}u d}d e}ə r}r a}a
samudra,s a m u d r a,s}s a}a m}m u}u d}d r}r a}a
samun,s a m u n,s}s a}a m}m u}u n}n
san,s a n,s}s a}a n}n
sana,s a n a,s}s a}a n}n a}a
sanak,s a n a ʔ,s}s a}a n}n a}a k}ʔ
sanalah,s a n a l a h,s}s a}a n}n a}a l}l a}a h}h
sanat,s a n a t,s}s a}a n}n a}a t}t
sanatorium,s a n a t o r i u m,s}s a}a n}n a}a t}t o}o r}r i}i u}u m}m
sanca,s a n tʃ a,s}s a}a n}n c}tʃ a}a
sandal,s a n d a l,s}s a}a n}n d}d a}a l}l
sandang,s a n d a ŋ,s}s a}a n}n d}d a}a n|g}ŋ
sandar,s a n d a r,s}s a}a n}n d}d a}a r}r
sandaran,s a n d a r a n,s}s a}a n}n d}d a}a r}r a}a n}n
sandera,s a n d ə r a,s}s a}a n}n d}d e}ə r}r a}a
sandi,s a n d i,s}s a}a n}n d}d i}i
sanding,s a n d i ŋ,s}s a}a n}n d}d i}i n|g}ŋ
sandiwara,s a n d i w a r a,s}s a}a n}n d}d i}i w}w a}a r}r a}a
sandung,s a n d u ŋ,s}s a}a n}n d}d u}u n|g}ŋ
sandungan,s a n d u ŋ a n,s}s a}a n}n d}d u}u n|g}ŋ a}a n}n
sang,s a ŋ,s}s a}a n|g}ŋ
sanga,s a ŋ a,s}s a}a n|g}ŋ a}a
sangar,s a ŋ a r,s}s a}a n|g}ŋ a}a r}r
sangat,s a ŋ a t,s}s a}a n|g}ŋ a}a t}t
sangga,s a ŋ ɡ a,s}s a}a n|g}ŋ g}ɡ a}a
sanggah,s a ŋ ɡ a h,s}s a}a n|g}ŋ g}ɡ a}a h}h
sanggahan,s a ŋ ɡ a h a n,s}s a}a n|g}ŋ g}ɡ a}a h}h a}a n}n
sanggan,s a ŋ ɡ a n,s}s a}a n|g}ŋ g}ɡ a}a n}n
sanggar,s a ŋ ɡ a r,s}s a}a n|g}ŋ g}ɡ a}a r}r
sanggit,s a ŋ ɡ i t,s}s a}a n|g}ŋ g}ɡ i}i t}t
sanggul,s a ŋ ɡ u l,s}s a}a n|g}ŋ g}ɡ u}u l}l
sanggup,s a ŋ ɡ u p,s}s a}a n|g}ŋ g}ɡ u}u p}p
sanggurdi,s a ŋ ɡ u r d i,s}s a}a n|g}ŋ g}ɡ u}u r}r d}d i}i
sangka,s a ŋ k a,s}s a}a n|g}ŋ k}k a}a
sangkaan,s a ŋ k a ʔ a n,s}s a}a n|g}ŋ k}k a}a|ʔ a}a n}n
sangkak,s a ŋ k a ʔ,s}s a}a n|g}ŋ k}k a}a k}ʔ
sangkakala,s a ŋ k a k a l a,s}s a}a n|g}ŋ k}k a}a k}k a}a l}l a}a
sangkal,s a ŋ k a l,s}s a}a n|g}ŋ k}k a}a l}l
sangkalan,s a ŋ k a l a n,s}s a}a n|g}ŋ k}k a}a l}l a}a n}n
sangkanya,s a ŋ k a ɲ a,s}s a}a n|g}ŋ k}k a}a n|y}ɲ a}a
sangkar,s a ŋ k a r,s}s a}a n|g}ŋ k}k a}a r}r
sangkur,s a ŋ k u r,s}s a}a n|g}ŋ k}k u}u r}r
sangkut,s a ŋ k u t,s}s a}a n|g}ŋ k}k u}u t}t
sangkutan,s a ŋ k u t a n,s}s a}a n|g}ŋ k}k u}u t}t a}a n}n
sangsi,s a ŋ s i,s}s a}a n|g}ŋ s}s i}i
sani,s a n i,s}s a}a n}n i}i
sanitasi,s a n i t a s i,s}s a}a n}n i}i t}t a}a s}s i}i
sanjak,s a n dʒ a ʔ,s}s a}a n}n j}dʒ a}a k}ʔ
sanjung,s a n dʒ u ŋ,s}s a}a n}n j}dʒ u}u n|g}ŋ
sanjungan,s a n dʒ u ŋ a n,s}s a}a n}n j}dʒ u}u n|g}ŋ a}a n}n
santa,s a n t a,s}s a}a n}n t}t a}a
santai,s a n t a i,s}s a}a n}n t}t a}a i}i
santan,s a n t a n,s}s a}a n}n t}t a}a n}n
santap,s a n t a p,s}s a}a n}n t}t a}a p}p
santapan,s a n t a p a n,s}s a}a n}n t}t a}a p}p a}a n}n
santo,s a n t o,s}s a}a n}n t}t o}o
santun,s a n t u n,s}s a}a n}n t}t u}u n}n
sanubari,s a n u b a r i,s}s a}a n}n u}u b}b a}a r}r i}i
sapa,s a p a,s}s a}a p}p a}a
sapaan,s a p a ʔ a n,s}s a}a p}p a}a|ʔ a}a n}n
sapi,s a p i,s}s a}a p}p i}i
sapih,s a p i h,s}s a}a p}p i}i h}h
sapinya,s a p i ɲ a,s}s a}a p}p i}i n|y}ɲ a}a
sapu,s a p u,s}s a}a p}p u}u
sapuan,s a p u a n,s}s a}a p}p u}u a}a n}n
saput,s a p u t,s}s a}a p}p u}u t}t
saputangan,s a p u t a ŋ a n,s}s a}a p}p u}u t}t a}a n|g}ŋ a}a n}n
sara,s a r a,s}s a}a r}r a}a
saraan,s a r a ʔ a n,s}s a}a r}r a}a|ʔ a}a n}n
saraf,s a r a f,s}s a}a r}r a}a f}f
sarakah,s a r a k a h,s}s a}a r}r a}a k}k a}a h}h
saran,s a r a n,s}s a}a r}r a}a n}n
sarana,s a r a n a,s}s a}a r}r a}a n}n a}a
saranan,s a r a n a n,s}s a}a r}r a}a n}n a}a n}n
sarang,s a r a ŋ,s}s a}a r}r a}a n|g}ŋ
sarap,s a r a p,s}s a}a r}r a}a p}p
sarapan,s a r a p a n,s}s a}a r}r a}a p}p a}a n}n
sarasehan,s a r a s e h a n,s}s a}a r}r a}a s}s e}e h}h a}a n}n
sarat,s a r a t,s}s a}a r}r a}a t}t
sarden,s a r d e n,s}s a}a r}r d}d e}e n}n
sari,s a r i,s}s a}a r}r i}i
saring,s a r i ŋ,s}s a}a r}r i}i n|g}ŋ
saringan,s a r i ŋ a n,s}s a}a r}r i}i n|g}ŋ a}a n}n
saripati,s a r i p a t i,s}s a}a r}r i}i p}p a}a t}t i}i
sarjan,s a r dʒ a n,s}s a}a r}r j}dʒ a}a n}n
sarjana,s a r dʒ a n a,s}s a}a r}r j}dʒ a}a n}n a}a
sarkasme,s a r k a s m ə,s}s a}a r}r k}k a}a s}s m}m e}ə
sarung,s a r u ŋ,s}s a}a r}r u}u n|g}ŋ
sarungnya,s a r u ŋ ɲ a,s}s a}a r}r u}u n|g}ŋ n|y}ɲ a}a
sasak,s a s a ʔ,s}s a}a s}s a}a k}ʔ
sasar,s a s a r,s}s a}a s}s a}a r}r
sasaran,s a s a r a n,s}s a}a s}s a}a r}r a}a n}n
sasarannya,s a s a r a n ɲ a,s}s a}a s}s a}a r}r a}a n}n n|y}ɲ a}a
sastra,s a s t r a,s}s a}a s}s t}t r}r a}a
sastrawan,s a s t r a w a n,s}s a}a s}s t}t r}r a}a w}w a}a n}n
sate,s a t e,s}s a}a t}t e}e
satelit,s a t ə l i t,s}s a}a t}t e}ə l}l i}i t}t
sateria,s a t ə r i a,s}s a}a t}t e}ə r}r i}i a}a
satih,s a t i h,s}s a}a t}t i}i h}h
satin,s a t i n,s}s a}a t}t i}i n}n
satir,s a t i r,s}s a}a t}t i}i r}r
satu,s a t u,s}s a}a t}t u}u
satuan,s a t u a n,s}s a}a t}t u}u a}a n}n
satukan,s a t u k a n,s}s a}a t}t u}u k}k a}a n}n
satunya,s a t u ɲ a,s}s a}a t}t u}u n|y}ɲ a}a
satwa,s a t w a,s}s a}a t}t w}w a}a
saudagar,s a u d a ɡ a r,s}s a}a u}u d}d a}a g}ɡ a}a r}r
saudara,s a u d a r a,s}s a}a u}u d}d a}a r}r a}a
saudaranya,s a u d a r a ɲ a,s}s a}a u}u d}d a}a r}r a}a n|y}ɲ a}a
saudari,s a u d a r i,s}s a}a u}u d}d a}a r}r i}i
sauh,s a u h,s}s a}a u}u h}h
saujana,s a u dʒ a n a,s}s a}a u}u j}dʒ a}a n}n a}a
saum,s a u m,s}s a}a u}u m}m
sauna,s a u n a,s}s a}a u}u n}n a}a
saus,s a u s,s}s a}a u}u s}s
saw,s a w,s}s a}a w}w
sawa,s a w a,s}s a}a w}w a}a
sawah,s a w a h,s}s a}a w}w a}a h}h
sawan,s a w a n,s}s a}a w}w a}a n}n
sawat,s a w a t,s}s a}a w}w a}a t}t
sawi,s a w i,s}s a}a w}w i}i
sawit,s a w i t,s}s a}a w}w i}i t}t
sawo,s a w o,s}s a}a w}w o}o
saya,s a j a,s}s a}a y}j a}a
sayak,s a j a ʔ,s}s a}a y}j a}a k}ʔ
sayang,s a j a ŋ,s}s a}a y}j a}a n|g}ŋ
sayangi,s a j a ŋ i,s}s a}a y}j a}a n|g}ŋ i}i
sayangkan,s a j a ŋ k a n,s}s a}a y}j a}a n|g}ŋ k}k a}a n}n
sayangnya,s a j a ŋ ɲ a,s}s a}a y}j a}a n|g}ŋ n|y}ɲ a}a
sayap,s a j a p,s}s a}a y}j a}a p}p
sayat,s a j a t,s}s a}a y}j a}a t}t
sayembara,s a j ə m b a r a,s}s a}a y}j e}ə m}m b}b a}a r}r a}a
sayu,s a j u,s}s a}a y}j u}u
sayung,s a j u ŋ,s}s a}a y}j u}u n|g}ŋ
sayup,s a j u p,s}s a}a y}j u}u p}p
sayur,s a j u r,s}s a}a y}j u}u r}r
sayuran,s a j u r a n,s}s a}a y}j u}u r}r a}a n}n
sbb,s b b,s}s b}b b}b
sdr,s d r,s}s d}d r}r
se,s ə,s}s e}ə
seabrek,s ə a b r ə ʔ,s}s e}ə a}a b}b r}r e}ə k}ʔ
seadanya,s ə a d a ɲ a,s}s e}ə a}a d}d a}a n|y}ɲ a}a
seadil,s ə a d i l,s}s e}ə a}a d}d i}i l}l
seagak,s ə a ɡ a ʔ,s}s e}ə a}a g}ɡ a}a k}ʔ
seagama,s ə a ɡ a m a,s}s e}ə a}a g}ɡ a}a m}m a}a
seakal,s ə a k a l,s}s e}ə a}a k}k a}a l}l
seakan,s ə a k a n,s}s e}ə a}a k}k a}a n}n
sealim,s ə a l i m,s}s e}ə a}a l}l i}i m}m
seandainya,s ə a n d a i ɲ a,s}s e}ə a}a n}n d}d a}a i}i n|y}ɲ a}a
seangin,s ə a ŋ i n,s}s e}ə a}a n|g}ŋ i}i n}n
seangkatan,s ə a ŋ k a t a n,s}s e}ə a}a n|g}ŋ k}k a}a t}t a}a n}n
seantero,s ə a n t e r o,s}s e}ə a}a n}n t}t e}e r}r o}o
searah,s ə a r a h,s}s e}ə a}a r}r a}a h}h
searti,s ə a r t i,s}s e}ə a}a r}r t}t i}i
seawal,s ə a w a l,s}s e}ə a}a w}w a}a l}l
seayapan,s ə a j a p a n,s}s e}ə a}a y}j a}a p}p a}a n}n
sebab,s ə b a b,s}s e}ə b}b a}a b}b
sebabat,s ə b a b a t,s}s e}ə b}b a}a b}b a}a t}t
sebabnya,s ə b a b ɲ a,s}s e}ə b}b a}a b}b n|y}ɲ a}a
sebadan,s ə b a d a n,s}s e}ə b}b a}a d}d a}a n}n
sebagai,s ə b a ɡ a i,s}s e}ə b}b a}a g}ɡ a}a i}i
sebagaimana,s ə b a ɡ a i m a n a,s}s e}ə b}b a}a g}ɡ a}a i}i m}m a}a n}n a}a
sebagainya,s ə b a ɡ a i ɲ a,s}s e}ə b}b a}a g}ɡ a}a i}i n|y}ɲ a}a
sebagian,s ə b a ɡ i a n,s}s e}ə b}b a}a g}ɡ i}i a}a n}n
sebahat,s ə b a h a t,s}s e}ə b}b a}a h}h a}a t}t
sebai,s ə b a i,s}s e}ə b}b a}a i}i
sebaik,s ə b a i ʔ,s}s e}ə b}b a}a i}i k}ʔ
sebaiknya,s ə b a i ʔ ɲ a,s}s e}ə b}b a}a i}i k}ʔ n|y}ɲ a}a
sebak,s ə b a ʔ,s}s e}ə b}b a}a k}ʔ
sebakul,s ə b a k u l,s}s e}ə b}b a}a k}k u}u l}l
sebal,s ə b a l,s}s e}ə b}b a}a l}l
sebalik,s ə b a l i ʔ,s}s e}ə b}b a}a l}l i}i k}ʔ
sebaliknya,s ə b a l i ʔ ɲ a,s}s e}ə b}b a}a l}l i}i k}ʔ n|y}ɲ a}a
sebam,s ə b a m,s}s e}ə b}b a}a m}m
sebambang,s ə b a m b a ŋ,s}s e}ə b}b a}a m}m b}b a}a n|g}ŋ
sebanding,s ə b a n d i ŋ,s}s e}ə b}b a}a n}n d}d i}i n|g}ŋ
sebangsa,s ə b a ŋ s a,s}s e}ə b}b a}a n|g}ŋ s}s a}a
sebanjar,s ə b a n dʒ a r,s}s e}ə b}b a}a n}n j}dʒ a}a r}r
sebanyak,s ə b a ɲ a ʔ,s}s e}ə b}b a}a n|y}ɲ a}a k}ʔ
sebar,s ə b a r,s}s e}ə b}b a}a r}r
sebaran,s ə b a r a n,s}s e}ə b}b a}a r}r a}a n}n
sebarang,s ə b a r a ŋ,s}s e}ə b}b a}a r}r a}a n|g}ŋ
sebarau,s ə b a r a u,s}s e}ə b}b a}a r}r a}a u}u
sebaris,s ə b a r i s,s}s e}ə b}b a}a r}r i}i s}s
sebasah,s ə b a s a h,s}s e}ə b}b a}a s}s a}a h}h
sebatan,s ə b a t a n,s}s e}ə b}b a}a t}t a}a n}n
sebatang,s ə b a t a ŋ,s}s e}ə b}b a}a t}t a}a n|g}ŋ
sebatas,s ə b a t a s,s}s e}ə b}b a}a t}t a}a s}s
sebati,s ə b a t i,s}s e}ə b}b a}a t}t i}i
sebau,s ə b a u,s}s e}ə b}b a}a u}u
sebaur,s ə b a u r,s}s e}ə b}b a}a u}u r}r
sebawah,s ə b a w a h,s}s e}ə b}b a}a w}w a}a h}h
sebawahan,s ə b a w a h a n,s}s e}ə b}b a}a w}w a}a h}h a}a n}n
sebaya,s ə b a j a,s}s e}ə b}b a}a y}j a}a
sebayanya,s ə b a j a ɲ a,s}s e}ə b}b a}a y}j a}a n|y}ɲ a}a
sebebas,s ə b e b a s,s}s e}ə b}b e}e b}b a}a s}s
sebegini,s ə b ə ɡ i n i,s}s e}ə b}b e}ə g}ɡ i}i n}n i}i
sebegitu,s ə b ə ɡ i t u,s}s e}ə b}b e}ə g}ɡ i}i t}t u}u
sebekah,s ə b ə k a h,s}s e}ə b}b e}ə k}k a}a h}h
sebel,s ə b ə l,s}s e}ə b}b e}ə l}l
sebelah,s ə b ə l a h,s}s e}ə b}b e}ə l}l a}a h}h
sebelanga,s ə b ə l a ŋ a,s}s e}ə b}b e}ə l}l a}a n|g}ŋ a}a
sebelas,s ə b ə l a s,s}s e}ə b}b e}ə l}l a}a s}s
sebelasan,s ə b ə l a s a n,s}s e}ə b}b e}ə l}l a}a s}s a}a n}n
sebelit,s ə b ə l i t,s}s e}ə b}b e}ə l}l i}i t}t
sebelum,s ə b ə l u m,s}s e}ə b}b e}ə l}l u}u m}m
sebelumnya,s ə b ə l u m ɲ a,s}s e}ə b}b e}ə l}l u}u m}m n|y}ɲ a}a
sebenar,s ə b ə n a r,s}s e}ə b}b e}ə n}n a}a r}r
sebenarnya,s ə b ə n a r ɲ a,s}s e}ə b}b e}ə n}n a}a r}r n|y}ɲ a}a
sebentar,s ə b ə n t a r,s}s e}ə b}b e}ə n}n t}t a}a r}r
sebentuk,s ə b ə n t u ʔ,s}s e}ə b}b e}ə n}n t}t u}u k}ʔ
seberang,s ə b ə r a ŋ,s}s e}ə b}b e}ə r}r a}a n|g}ŋ
seberapa,s ə b ə r a p a,s}s e}ə b}b e}ə r}r a}a p}p a}a
seberat,s ə b ə r a t,s}s e}ə b}b e}ə r}r a}a t}t
seberhana,s ə b ə r h a n a,s}s e}ə b}b e}ə r}r h}h a}a n}n a}a
seberkas,s ə b ə r k a s,s}s e}ə b}b e}ə r}r k}k a}a s}s
sebesar,s ə b ə s a r,s}s e}ə b}b e}ə s}s a}a r}r
sebetulnya,s ə b ə t u l ɲ a,s}s e}ə b}b e}ə t}t u}u l}l n|y}ɲ a}a
sebidang,s ə b i d a ŋ,s}s e}ə b}b i}i d}d a}a n|g}ŋ
sebilah,s ə b i l a h,s}s e}ə b}b i}i l}l a}a h}h
sebilang,s ə b i l a ŋ,s}s e}ə b}b i}i l}l a}a n|g}ŋ
sebilangan,s ə b i l a ŋ a n,s}s e}ə b}b i}i l}l a}a n|g}ŋ a}a n}n
sebilik,s ə b i l i ʔ,s}s e}ə b}b i}i l}l i}i k}ʔ
sebintang,s ə b i n t a ŋ,s}s e}ə b}b i}i n}n t}t a}a n|g}ŋ
sebisanya,s ə b i s a ɲ a,s}s e}ə b}b i}i s}s a}a n|y}ɲ a}a
sebit,s ə b i t,s}s e}ə b}b i}i t}t
sebodoh,s ə b o d o h,s}s e}ə b}b o}o d}d o}o h}h
sebotol,s ə b o t o l,s}s e}ə b}b o}o t}t o}o l}l
sebrot,s ə b r o t,s}s e}ə b}b r}r o}o t}t
sebu,s ə b u,s}s e}ə b}b u}u
sebuah,s ə b u a h,s}s e}ə b}b u}u a}a h}h
sebudi,s ə b u d i,s}s e}ə b}b u}u d}d i}i
sebuk,s ə b u ʔ,s}s e}ə b}b u}u k}ʔ
sebukan,s ə b u k a n,s}s e}ə b}b u}u k}k a}a n}n
sebulan,s ə b u l a n,s}s e}ə b}b u}u l}l a}a n}n
sebulat,s ə b u l a t,s}s e}ə b}b u}u l}l a}a t}t
sebun,s ə b u n,s}s e}ə b}b u}u n}n
sebungkus,s ə b u ŋ k u s,s}s e}ə b}b u}u n|g}ŋ k}k u}u s}s
sebunyi,s ə b u ɲ i,s}s e}ə b}b u}u n|y}ɲ i}i
sebura,s ə b u r a,s}s e}ə b}b u}u r}r a}a
seburas,s ə b u r a s,s}s e}ə b}b u}u r}r a}a s}s
seburu,s ə b u r u,s}s e}ə b}b u}u r}r u}u
seburuk,s ə b u r u ʔ,s}s e}ə b}b u}u r}r u}u k}ʔ
seburus,s ə b u r u s,s}s e}ə b}b u}u r}r u}u s}s
seburut,s ə b u r u t,s}s e}ə b}b u}u r}r u}u t}t
sebut,s ə b u t,s}s e}ə b}b u}u t}t
sebutan,s ə b u t a n,s}s e}ə b}b u}u t}t a}a n}n
sebutir,s ə b u t i r,s}s e}ə b}b u}u t}t i}i r}r
secampin,s ə tʃ a m p i n,s}s e}ə c}tʃ a}a m}m p}p i}i n}n
secang,s ə tʃ a ŋ,s}s e}ə c}tʃ a}a n|g}ŋ
secanggih,s ə tʃ a ŋ ɡ i h,s}s e}ə c}tʃ a}a n|g}ŋ g}ɡ i}i h}h
secangkir,s ə tʃ a ŋ k i r,s}s e}ə c}tʃ a}a n|g}ŋ k}k i}i r}r
secantik,s ə tʃ a n t i ʔ,s}s e}ə c}tʃ a}a n}n t}t i}i k}ʔ
secara,s ə tʃ a r a,s}s e}ə c}tʃ a}a r}r a}a
secarik,s ə tʃ a r i ʔ,s}s e}ə c}tʃ a}a r}r i}i k}ʔ
secebir,s ə tʃ ə b i r,s}s e}ə c}tʃ e}ə b}b i}i r}r
sececah,s ə tʃ ə tʃ a h,s}s e}ə c}tʃ e}ə c}tʃ a}a h}h
secepat,s ə tʃ ə p a t,s}s e}ə c}tʃ e}ə p}p a}a t}t
secepatnya,s ə tʃ ə p a t ɲ a,s}s e}ə c}tʃ e}ə p}p a}a t}t n|y}ɲ a}a
secercah,s ə tʃ ə r tʃ a h,s}s e}ə c}tʃ e}ə r}r c}tʃ a}a h}h
seciap,s ə tʃ i a p,s}s e}ə c}tʃ i}i a}a p}p
secina,s ə tʃ i n a,s}s e}ə c}tʃ i}i n}n a}a
secocok,s ə tʃ o tʃ o ʔ,s}s e}ə c}tʃ o}o c}tʃ o}o k}ʔ
secolek,s ə tʃ o l e ʔ,s}s e}ə c}tʃ o}o l}l e}e k}ʔ
secubit,s ə tʃ u b i t,s}s e}ə c}tʃ u}u b}b i}i t}t
secuil,s ə tʃ u i l,s}s e}ə c}tʃ u}u i}i l}l
secukupnya,s ə tʃ u k u p ɲ a,s}s e}ə c}tʃ u}u k}k u}u p}p n|y}ɲ a}a
secupak,s ə tʃ u p a ʔ,s}s e}ə c}tʃ u}u p}p a}a k}ʔ
sedaging,s ə d a ɡ i ŋ,s}s e}ə d}d a}a g}ɡ i}i n|g}ŋ
sedak,s e d a ʔ,s}s e}e d}d a}a k}ʔ
sedalam,s ə d a l a m,s}s e}ə d}d a}a l}l a}a m}m
sedam,s ə d a m,s}s e}ə d}d a}a m}m
sedang,s ə d a ŋ,s}s e}ə d}d a}a n|g}ŋ
sedangkan,s ə d a ŋ k a n,s}s e}ə d}d a}a n|g}ŋ k}k a}a n}n
sedap,s ə d a p,s}s e}ə d}d a}a p}p
sedapan,s ə d a p a n,s}s e}ə d}d a}a p}p a}a n}n
sedapat,s ə d a p a t,s}s e}ə d}d a}a p}p a}a t}t
sedar,s ə d a r,s}s e}ə d}d a}a r}r
sedarah,s ə d a r a h,s}s e}ə d}d a}a r}r a}a h}h
sedari,s ə d a r i,s}s e}ə d}d a}a r}r i}i
sedarun,s ə d a r u n,s}s e}ə d}d a}a r}r u}u n}n
sedat,s ə d a t,s}s e}ə d}d a}a t}t
sedatar,s ə d a t a r,s}s e}ə d}d a}a t}t a}a r}r
sedatif,s e d a t i f,s}s e}e d}d a}a t}t i}i f}f
sedawai,s ə d a w a i,s}s e}ə d}d a}a w}w a}a i}i
sedaya,s ə d a j a,s}s e}ə d}d a}a y}j a}a
sedekah,s ə d ə k a h,s}s e}ə d}d e}ə k}k a}a h}h
sedekap,s ə d ə k a p,s}s e}ə d}d e}ə k}k a}a p}p
sedelinggam,s ə d ə l i ŋ ɡ a m,s}s e}ə d}d e}ə l}l i}i n|g}ŋ g}ɡ a}a m}m
sedemikian,s ə d ə m i k i a n,s}s e}ə d}d e}ə m}m i}i k}k i}i a}a n}n
sedeng,s e d e ŋ,s}s e}e d}d e}e n|g}ŋ
sedepa,s ə d ə p a,s}s e}ə d}d e}ə p}p a}a
sederajat,s ə d ə r a dʒ a t,s}s e}ə d}d e}ə r}r a}a j}dʒ a}a t}t
sederap,s ə d ə r a p,s}s e}ə d}d e}ə r}r a}a p}p
sederet,s ə d e r e t,s}s e}ə d}d e}e r}r e}e t}t
sederhana,s ə d ə r h a n a,s}s e}ə d}d e}ə r}r h}h a}a n}n a}a
sederum,s ə d ə r u m,s}s e}ə d}d e}ə r}r u}u m}m
sedia,s ə d i a,s}s e}ə d}d i}i a}a
sediaan,s ə d i a ʔ a n,s}s e}ə d}d i}i a}a|ʔ a}a n}n
sediakala,s ə d i a k a l a,s}s e}ə d}d i}i a}a k}k a}a l}l a}a
sediakan,s ə d i a k a n,s}s e}ə d}d i}i a}a k}k a}a n}n
sedianya,s ə d i a ɲ a,s}s e}ə d}d i}i a}a n|y}ɲ a}a
sedih,s ə d i h,s}s e}ə d}d i}i h}h
sedihnya,s ə d i h ɲ a,s}s e}ə d}d i}i h}h n|y}ɲ a}a
sedikit,s ə d i k i t,s}s e}ə d}d i}i k}k i}i t}t
sedikitnya,s ə d i k i t ɲ a,s}s e}ə d}d i}i k}k i}i t}t n|y}ɲ a}a
sedikitpun,s ə d i k i t p u n,s}s e}ə d}d i}i k}k i}i t}t p}p u}u n}n
sedimen,s e d i m e n,s}s e}e d}d i}i m}m e}e n}n
sedimentasi,s e d i m e n t a s i,s}s e}e d}d i}i m}m e}e n}n t}t a}a s}s i}i
sedimenter,s e d i m e n t e r,s}s e}e d}d i}i m}m e}e n}n t}t e}e r}r
sedingin,s ə d i ŋ i n,s}s e}ə d}d i}i n|g}ŋ i}i n}n
sedini,s ə d i n i,s}s e}ə d}d i}i n}n i}i
sedompol,s ə d o m p o l,s}s e}ə d}d o}o m}m p}p o}o l}l
sedondon,s ə d o n d o n,s}s e}ə d}d o}o n}n d}d o}o n}n
sedot,s ə d o t,s}s e}ə d}d o}o t}t
sedotan,s ə d o t a n,s}s e}ə d}d o}o t}t a}a n}n
sedu,s ə d u,s}s e}ə d}d u}u
sedua,s ə d u a,s}s e}ə d}d u}u a}a
seduayah,s ə d u a j a h,s}s e}ə d}d u}u a}a y}j a}a h}h
seduh,s ə d u h,s}s e}ə d}d u}u h}h
seduit,s ə d u i t,s}s e}ə d}d u}u i}i t}t
sedunia,s ə d u n i a,s}s e}ə d}d u}u n}n i}i a}a
sedut,s ə d u t,s}s e}ə d}d u}u t}t
seekor,s ə e k o r,s}s e}ə e}e k}k o}o r}r
seelok,s ə e l o ʔ,s}s e}ə e}e l}l o}o k}ʔ
seenak,s ə e n a ʔ,s}s e}ə e}e n}n a}a k}ʔ
seenaknya,s ə e n a ʔ ɲ a,s}s e}ə e}e n}n a}a k}ʔ n|y}ɲ a}a
sega,s ə ɡ a,s}s e}ə g}ɡ a}a
segah,s ə ɡ a h,s}s e}ə g}ɡ a}a h}h
segak,s e ɡ a ʔ,s}s e}e g}ɡ a}a k}ʔ
segala,s ə ɡ a l a,s}s e}ə g}ɡ a}a l}l a}a
segalanya,s ə ɡ a l a ɲ a,s}s e}ə g}ɡ a}a l}l a}a n|y}ɲ a}a
segan,s ə ɡ a n,s}s e}ə g}ɡ a}a n}n
seganda,s ə ɡ a n d a,s}s e}ə g}ɡ a}a n}n d}d a}a
segani,s ə ɡ a n i,s}s e}ə g}ɡ a}a n}n i}i
seganteng,s ə ɡ a n t ə ŋ,s}s e}ə g}ɡ a}a n}n t}t e}ə n|g}ŋ
segar,s ə ɡ a r,s}s e}ə g}ɡ a}a r}r
segara,s ə ɡ a r a,s}s e}ə g}ɡ a}a r}r a}a
segaris,s ə ɡ a r i s,s}s e}ə g}ɡ a}a r}r i}i s}s
segeger,s ə ɡ e ɡ e r,s}s e}ə g}ɡ e}e g}ɡ e}e r}r
segeh,s e ɡ e h,s}s e}e g}ɡ e}e h}h
segel,s e ɡ ə l,s}s e}e g}ɡ e}ə l}l
